
running 43 tests
test daniel::tests::a_missing_corpus_is_reported_rather_than_scored_as_zero ... ok
test extraction::tests::a_line_is_a_sentence_and_a_full_stop_is_not ... ok
test evasion::tests::a_list_that_starts_over_the_line_is_refused_rather_than_measured ... ok
test extraction::tests::a_missing_corpus_is_reported_rather_than_scored_as_zero ... ok
test extraction::tests::a_score_can_never_exceed_one ... ok
test extraction::tests::an_empty_extraction_of_a_real_page_scores_zero ... ok
test extraction::tests::an_exact_extraction_scores_one ... ok
test extraction::tests::dropping_half_the_article_costs_recall ... ok
test extraction::tests::keeping_the_navigation_costs_precision_and_not_recall ... ok
test extraction::tests::loss_is_measured_against_what_the_recall_path_reached ... ok
test extraction::tests::punctuation_and_case_are_not_what_is_being_measured ... ok
test extraction::tests::reordering_paragraphs_is_not_punished_the_way_a_plain_lcs_would ... ok
test extraction::tests::the_benchmark_scores_the_path_the_product_runs ... ok
test extraction::tests::the_disjoint_pair_shortcut_changes_no_score ... ok
test summary::tests::timeouts_stay_in_denominator_and_repeats_are_separate ... ok
test targets::tests::a_multibyte_body_does_not_panic_at_the_scan_limit ... ok
test targets::tests::a_tiny_body_without_script_is_a_gate ... ok
test targets::tests::a_vendor_signal_deep_in_the_body_still_counts ... ok
test targets::tests::both_sets_have_unique_names_and_the_sizes_their_names_promise ... ok
test targets::tests::invalid_transport_status_is_never_success ... ok
test targets::tests::nothing_captured_at_all_is_an_error ... ok
test targets::tests::public_body_limit_can_split_a_unicode_character ... ok
test targets::tests::the_frozen_sets_are_still_frozen ... ok
test targets::tests::the_public_rule_reads_a_403_as_blocked_whatever_the_body_says ... ok
test targets::tests::the_public_rule_reads_a_challenge_title_as_gated_not_blocked ... ok
test targets::tests::the_vendor_set_names_each_vendor_twice_and_only_vendors_the_classifier_knows ... ok
test tells::tests::a_probe_the_page_never_reported_is_named ... ok
test tells::tests::the_probe_list_and_the_page_agree ... ok
test wcxb::tests::a_curly_apostrophe_is_the_same_word_as_a_straight_one ... ok
test wcxb::tests::a_page_losing_several_phrases_is_one_page ... ok
test wcxb::tests::a_page_the_corpus_marked_nothing_on_is_neutral ... ok
test wcxb::tests::a_perfect_extraction_keeps_everything_required_and_leaks_nothing ... ok
test wcxb::tests::a_phrase_that_was_delivered_counts_even_when_the_rendering_changed_it ... ok
test wcxb::tests::a_snippet_is_found_across_a_line_break_and_a_capital ... ok
test wcxb::tests::an_empty_side_scores_zero_rather_than_dividing_by_it ... ok
test wcxb::tests::scattered_words_are_not_the_phrase ... ok
test wcxb::tests::the_new_comparison_is_never_stricter_than_the_old_one ... ignored, probe against the corpus; needs SVIPALL_WCXB
test wcxb::tests::the_reverse_is_the_worst_case_and_reads_that_way ... ok
test wcxb::tests::what_the_markdown_walk_loses_that_the_text_walk_keeps ... ignored, probe against the corpus; needs SVIPALL_WCXB
test wcxb::tests::what_the_region_selector_picked_on_the_pages_that_lose_content ... ignored, probe against the corpus; needs SVIPALL_WCXB
test wcxb::tests::which_rule_drops_the_text_the_walker_never_reaches ... ignored, probe against the corpus; needs SVIPALL_WCXB
test wcxb::tests::word_overlap_ignores_order_but_not_quantity ... ok
test extraction::tests::a_page_sized_line_does_not_exhaust_the_scorer ... ok

test result: ok. 39 passed; 0 failed; 4 ignored; 0 measured; 0 filtered out; finished in 4.39s


running 13 tests
test conn::ignorable_tests::a_payload_that_is_not_a_cdp_message_is_never_ignored ... ok
test conn::ignorable_tests::a_response_to_one_of_our_own_calls_is_never_ignored ... ok
test conn::ignorable_tests::an_event_this_protocol_definition_does_not_know_is_ignored ... ok
test listeners::tests::custom_event_stream ... ok
test listeners::tests::event_listeners ... ok
test listeners::tests::event_stream ... ok
test utils::tests::is_js_function ... ok
test worker::tests::worker_realms_are_named_exactly ... ok
test world::tests::a_generated_name_is_a_plausible_identifier ... ok
test world::tests::a_seeded_name_never_spells_out_the_library ... ok
test world::tests::different_seeds_give_different_names ... ok
test world::tests::the_same_seed_gives_the_same_pair ... ok
test world::tests::the_world_and_its_script_url_do_not_share_a_prefix ... ok

test result: ok. 13 passed; 0 failed; 0 ignored; 0 measured; 0 filtered out; finished in 0.01s


running 516 tests
test altsvc::tests::a_domain_that_did_not_answer_over_quic_is_not_asked_again_every_time ... ok
test altsvc::tests::a_domain_that_answered_over_quic_is_remembered_so_the_next_page_goes_straight_there ... ok
test altsvc::tests::a_failure_is_forgotten_after_a_while_because_a_network_is_not_forever ... ok
test altsvc::tests::an_offer_is_remembered_until_it_expires ... ok
test altsvc::tests::the_h3_alternative_is_read_with_its_port_and_lifetime ... ok
test altsvc::tests::one_domain_is_asked_about_directly_rather_than_by_listing_every_offer ... ok
test answer::tests::a_click_is_a_fraction_of_the_picture_never_a_pixel ... ok
test answer::tests::a_drag_needs_both_ends_on_the_picture ... ok
test answer::tests::a_hold_is_a_gesture_not_a_click_and_not_an_afternoon ... ok
test answer::tests::a_polygon_needs_enough_corners_to_enclose_something ... ok
test answer::tests::a_slide_is_a_fraction_of_its_track_and_a_turn_is_degrees ... ok
test answer::tests::an_answer_to_a_different_question_is_refused_at_the_door ... ok
test answer::tests::an_empty_answer_is_not_an_answer ... ok
test answer::tests::every_modality_has_an_answer_that_fits_it ... ok
test answer::tests::saying_you_cannot_read_it_is_valid_for_any_challenge ... ok
test answer::tests::the_same_fraction_is_the_same_place_on_every_screen ... ok
test answer::tests::the_wire_format_is_what_a_browser_can_send_without_a_library ... ok
test blocklist::tests::a_machine_with_no_list_blocks_nothing_and_keeps_working ... ok
test blocklist::tests::a_pattern_covers_the_name_itself_and_everything_under_it ... ok
test blocklist::tests::a_suffix_on_its_own_never_takes_the_web_down_with_it ... ok
test blocklist::tests::a_url_with_a_port_or_credentials_is_still_matched_on_its_host ... ok
test blocklist::tests::blocking_a_domain_blocks_what_pages_actually_load_from_it ... ok
test blocklist::tests::both_published_formats_are_read_by_the_same_parser ... ok
test blocklist::tests::element_rules_never_take_a_whole_host_with_them ... ok
test blocklist::tests::garbage_in_a_list_is_skipped_rather_than_taken_as_a_rule ... ok
test blocklist::tests::something_that_is_not_a_url_is_not_blocked_and_does_not_panic ... ok
test blocklist::tests::the_consent_script_removes_the_overlay_and_gives_the_page_back_its_scrolling ... ok
test blocklist::tests::the_lines_every_hosts_file_carries_are_not_mistaken_for_rules ... ok
test blocklist::tests::the_most_general_names_are_kept_when_the_list_is_capped ... ok
test blocklist::tests::the_patterns_handed_to_a_browser_are_the_same_two_runs_running ... ok
test blocklist::tests::two_lists_together_cover_what_either_covers ... ok
test budget::tests::a_budget_never_splits_a_code_fence ... ok
test budget::tests::a_continuation_names_the_section_it_resumes_under ... ok
test budget::tests::a_continuation_names_the_whole_heading_path ... ok
test budget::tests::a_cursor_from_a_different_version_is_reported_and_restarted ... ok
test budget::tests::a_hash_that_is_not_a_heading_is_not_read_as_one ... ok
test budget::tests::a_generous_overlap_still_terminates_and_covers_the_document ... ok
test budget::tests::a_heading_path_keeps_ancestors_and_drops_closed_sections ... ok
test budget::tests::a_preamble_too_large_for_the_budget_is_dropped_rather_than_starving_the_page ... ok
test budget::tests::a_resume_inside_a_block_repeats_nothing ... ok
test budget::tests::a_single_oversized_block_still_makes_progress ... ok
test budget::tests::an_overlap_never_takes_more_than_a_quarter_of_the_budget ... ok
test budget::tests::an_overlap_repeats_the_tail_of_the_previous_page_and_marks_it ... ok
test budget::tests::blocks_keep_code_fences_whole ... ok
test budget::tests::blocks_keep_gfm_tables_whole ... ok
test budget::tests::cursor_survives_a_round_trip ... ok
test budget::tests::everything_fits_when_the_budget_is_generous ... ok
test budget::tests::paging_with_the_cursor_reassembles_the_whole_document ... ok
test budget::tests::wide_characters_cost_more_than_ascii ... ok
test cache::tests::a_database_from_before_the_job_table_gains_it_rather_than_breaking ... FAILED
test cache::tests::a_cancelled_job_keeps_its_request_where_a_restart_can_still_see_it ... ok
test cache::tests::a_database_from_before_the_verdict_gains_the_column_and_reads_null_for_its_old_rows ... FAILED
test cache::tests::a_database_from_before_the_log_gains_it_rather_than_breaking ... FAILED
test cache::tests::a_domains_pages_come_back_newest_first_and_only_that_domains ... ok
test cache::tests::a_database_written_before_the_notes_existed_gains_them_rather_than_breaking ... FAILED
test cache::tests::a_finished_job_is_forgotten_after_its_keep_and_an_interrupted_one_is_not ... ok
test cache::tests::a_job_is_findable_the_moment_it_is_created_rather_than_when_it_starts ... ok
test cache::tests::a_job_reports_the_pages_its_crawl_actually_fetched_rather_than_a_copy ... ok
test cache::tests::a_job_left_running_by_a_dead_process_becomes_resumable_rather_than_lost ... ok
test cache::tests::a_key_containing_a_wildcard_character_is_not_a_wildcard ... ok
test cache::tests::a_key_nobody_wrote_is_absent_rather_than_empty ... ok
test cache::tests::a_miss_is_a_miss ... ok
test cache::tests::a_page_about_something_else_is_not_a_duplicate_of_it ... ok
test cache::tests::a_page_fetched_last_week_is_recognised_when_it_comes_back_under_another_name ... ok
test cache::tests::a_note_left_by_one_run_is_there_for_the_next_one ... ok
test cache::tests::a_rewrite_reports_the_change_and_how_similar_it_is ... ok
test cache::tests::a_search_wider_than_the_index_can_answer_is_refused_rather_than_answered_partly ... ok
test cache::tests::a_stored_page_comes_back_intact ... ok
test cache::tests::a_stored_summary_survives_the_round_trip_and_is_not_carried_in_a_listing ... ok
test cache::tests::an_interrupted_crawl_resumes_from_its_frontier ... ok
test cache::tests::an_unknown_crawl_id_is_none ... ok
test cache::tests::asking_about_a_domain_that_did_nothing_is_an_empty_answer ... ok
test cache::tests::cache_modes_parse_and_describe_their_permissions ... ok
test cache::tests::clearing_by_domain_leaves_other_domains_alone ... ok
test cache::tests::compression_round_trips_including_empty_and_unicode ... ok
test cache::tests::first_seen_is_the_oldest_page_of_the_site_and_nothing_for_a_site_never_visited ... ok
test cache::tests::housekeeping_removes_expired_pages_and_keeps_current_ones ... ok
test cache::tests::forgetting_a_note_says_whether_there_was_one ... ok
test cache::tests::no_store_is_honoured_and_an_absurd_max_age_is_capped ... ok
test cache::tests::listing_by_prefix_returns_only_that_prefix ... ok
test cache::tests::only_crawls_with_work_left_are_listed_as_resumable ... ok
test cache::tests::only_one_runner_can_claim_a_queued_job ... ok
test cache::tests::pages_stored_before_the_bands_existed_are_findable_after_the_upgrade ... FAILED
test cache::tests::saving_the_frontier_again_replaces_it_rather_than_appending ... ok
test cache::tests::storing_the_same_content_twice_reports_unchanged ... ok
test cache::tests::the_log_is_bounded_by_time_rather_than_kept_forever ... ok
test cache::tests::the_summary_names_the_domain_whose_learned_tier_is_wrong ... ok
test cache::tests::the_tool_can_answer_questions_about_its_own_behaviour ... ok
test cache::tests::touch_extends_life_without_changing_content ... ok
test cache::tests::tracking_parameters_do_not_create_separate_entries ... ok
